Date,Price,Open,High,Low,Vol.,Change %
"Nov 10, 2014",1281.3,1171,1171,1150.7,0.04K,-0.75%
"Nov 07, 2014",1291,1139.9,1169.7,1132.9,0.10K,2.1%
"Nov 06, 2014",1264.4,1141.1,1147.5,1137.9,0.14K,-0.29%
"Nov 05, 2014",1268.1,1168.1,1168.7,1137.8,0.16K,-1.72%
"Nov 04, 2014",1290.3,1166.9,1171,1165,0.04K,-0.32%
"Nov 03, 2014",1294.4,1166.4,1172.3,1163.1,0.06K,-0.12%
"Oct 31, 2014",1295.9,1199.6,1199.7,1161.4,0.26K,-2.04%
"Oct 30, 2014",1322.9,1213.7,1214.7,1195.8,0.52K,-1.95%
"Oct 29, 2014",1349.2,1224.3,1224.3,1224.3,-,-0.25%
"Oct 28, 2014",1352.6,1224.9,1231,1224.7,0.05K,0.01%
"Oct 27, 2014",1352.4,1230.2,1230.2,1227.3,0.28K,-0.19%
"Oct 24, 2014",1355,1229.4,1232.7,1229.4,0.07K,0.21%
"Oct 23, 2014",1352.1,1228,1228,1227.9,0.00K,-1.06%
"Oct 22, 2014",1366.6,1244.8,1244.8,1244.3,0.00K,-0.38%
"Oct 21, 2014",1371.8,1251,1251,1251,0.05K,0.55%
"Oct 20, 2014",1364.3,1237.3,1244,1235.4,0.11K,0.43%
"Oct 17, 2014",1358.5,1237.4,1237.5,1232.6,0.36K,0.07%
"Oct 16, 2014",1357.5,1242.1,1243,1236.7,0.01K,-0.28%
"Oct 15, 2014",1361.3,1243.7,1247,1230.9,0.25K,0.15%
"Oct 14, 2014",1359.3,1235.9,1235.9,1235.8,0.07K,10.58%
"Oct 13, 2014",1229.3,1229.8,1234,1227,0.10K,-9.19%
"Oct 10, 2014",1353.7,1223.5,1223.5,1217,0.19K,-0.38%
"Oct 09, 2014",1358.8,1223.9,1229,1223.9,0.02K,1.09%
"Oct 08, 2014",1344.2,1210.2,1217.9,1207,0.01K,-1.42%
"Oct 07, 2014",1363.6,1209.1,1210.8,1205.3,0.27K,0.21%
"Oct 06, 2014",1360.7,1338.3,1338.3,1338.3,0.01K,1.02%
"Oct 03, 2014",1346.9,1212.4,1212.4,1191,0.50K,-1.55%
"Oct 02, 2014",1368.1,1215.3,1219.5,1210.3,0.18K,-0.15%
"Oct 01, 2014",1370.2,1207.7,1217.8,1205.5,0.18K,0.26%
"Sep 30, 2014",1366.7,1214.8,1218.2,1204,0.68K,-0.51%
"Sep 29, 2014",1373.7,1216.3,1222.2,1214.7,6.34K,0.24%
"Sep 26, 2014",1370.4,1214.1,1214.1,1214.1,0.00K,-0.44%
"Sep 25, 2014",1376.4,1209.5,1216.1,1209.5,0.01K,0.11%
"Sep 24, 2014",1374.9,1216.8,1216.8,1216.8,0.00K,-0.17%
"Sep 23, 2014",1377.2,1221,1221,1221,0.01K,0.22%
